V200001,V202205 - POST: Most important problems facing the country - mention 1 [text],V202207 - POST: Most important problems facing the country - mention 2 [text],V202209 - POST: Most important problems facing the country - mention 3 [text],V202211 - POST: Most important problems facing the country - most important [text]
203397,"The undermining of are democracy by the pres. ,Putin , the Republicans , FOX and others , next climate collapse , over population , America turning into an oligarchy or worse , the deepening divide between have and have not . Americans illiterate to are own history , to what democery demands , and their civic responsibility to it and the willingness to blindly fallow a despot .","Too many Americans living a bubble , only loosely attached to reality and with a huge empathy deficit .",I just did .,"Getting are shit together and are democracy working adequately again or all is lost , next climate collapse ."
203403,racism,-9,-1,-1
203410,wealth imbalance between upper class and lower/middle class citizens,irresponsible national response to covid,police brutality,covid
203427,pandemic economy healthcare,immigration dreamers equal rights gun violence police brutality,-9,pandemic
203434,Finding solution to the Covid problem.,-9,-1,-1
203441,"racism, prejudice against black americans","health care. there should be a much better health care plan like say, canada has",-9,racism
203458,Not much Job for youmg People,-9,-1,-1
203472,"WORLD PEACE, TRUST, DISCRIMINATION",-9,-1,-1
203489,Rise of Socialism and fraud in the Democrat party,Divisive elements,Demonization of law enforcement,Fraudulent and socialist Democrats
203496,"climate change, health care, not taxing corps, wealth gap, education gap","wealth gap between men and women, POC and whites","Criminal Justice Reform. POC are incarcerated for not being able to pay bail, not being able to afford an attorney etc.",Climate change
203502,"right now it is the election.  I do not trust the process and if I don't believe my vote counts or a political party can counter it, then what good is democracy. I do not trust the democratic party or any liberals.","Illegal immigration, welfare, food stamps.   I strongly disagree with welfare and food stamps.  I do not believe we should be supporting our citizens. I think we should offer transitional assistance but that is it.  It is a survival of the fittest.","As I am watching the news, I hear Biden may want a mask mandate.  That is not the governments place.",Biden/Harris
203519,the lack of unity with the country,-9,-1,-1
203526,COVID-19UnemploymentRacism Social Injustice,-9,-1,-1
203533,racial division,socioeconomic division,gender wage gap,socioeconomic division
203540,COVID & finding a vaccine,"Unity, we are not working together in the USA","immigration, I believe in closing the borders & afraid that is elected, Biden will open anyone in the US",UNITY
203557,The Pandemic!!!,The orderly transition of power!!!,The cares act,The orderly transfer of power
203564,COVID 19 lockdowns for states and mask regulations. voter fraud because there is proof of it. thats why I am not happy with the Supreme Court because there is video evidence and nothing being done.,Joe Biden is the problem,joe biden is the problem,covid19
203588,pandemicThe problem is that is has become a political issue and now it is continuing out of control and numbers are on the uptick.,The lean towards socialism and that everyone is owed something.,-9,pandemic
203595,Social Media and the idea of self-social ranking (comparing one's self to others),"Identifying who we are as a nation and what would appease everyone- are we land of lawlessness when it comes to drugs, simple traffic crimes, etc, or are we staying the course and holding everyone accountable regardless of their background.",-9,Social Media and the comparisons to one another
203632,Handling the impending economic fallout of the 2020 pandemic regulations and ordinances is the only great concern for the country. The impending stressors caused by the accellerated destruction of the middle class are worrisome.,Our nation’s mental health decline caused by the isolation and anti-social regulations are of great concern.,"Children’s education seems to be less important in light of recent pandemic societal regulation. As a parent, I have seen a cognitive shift. It is worrisome. The inability to socially interact in person with educators and friends will manifest problems of all sorts in the future.",The impending economic fallout.
203649,Gun controlRacism,Health Care,-9,Gun violence
203670,Our country seems to be turning against one another and worrying about the wrong problems. as humans we need to come together and do something about the environment. something needs to replace fossil fuels and Americans seem to be focused on the oil and coal industries but they really do need to go. I see civil dispute and hatred spread more than kindness and love. We need out of this state of mind our leader has been misleading us to believe.,"Of course the pandemic is an obvious problem but I'm not sure that will just ""disappear"" after the election. It needed and needs to be taken seriously. Poverty has been a problem longer than Trump has been in office. It wouldn't hurt to raise minimum wage just a little. Migrant farming should be illegal as well as overseas factories claiming to be born and raised US meats. We need better leadership.","Something seriously needs done to end police brutality. How many times can we continue to watch people being shot to kill and not a simple wound shot before this stops? We can't just end racism at the snap of a finger but some sort of reasonable solution could be useful. Also, affordable real health care needs put in place. To educate ourselves further to make less than $20 an hour shouldn't cost more than a year's salary. Again, environment needs taken care of and treated just as precious as human life. Woman should be allowed to make decisions about their bodies as well.","At this point, healthcare will be needed in order to help people get through the pandemic, so affordable healthcare. To have procedures such as a knee surgery shouldn't cost more than a house or car."
